248086, 28, Tue Aug 12 13_47_49 2014
319110, 309924, _
318813, 41, Tue Aug 12 13_37_10 2014
254461, 246844, _
253996, 41314, Tue Aug 12 13_49_26 2014
22656, 20776, _
22855, 41276, Tue Aug 12 13_41_55 2014
255306, 247791, _
255120, 28, Tue Aug 12 13_48_42 2014
70657, 67485, _
70548, 10, Tue Aug 12 13_42_02 2014
280563, 272649, _
280082, 41349, Tue Aug 12 13_54_47 2014
24171, 22196, _
24137, 4, Tue Aug 12 13_43_31 2014
253162, 245900, _
252926, 33, Tue Aug 12 13_50_46 2014
215078, 200249, _
221530, 29, Tue Aug 12 14_00_43 2014
321069, 311922, _
320710, 44, Tue Aug 12 13_38_43 2014
299764, 290986, _
299384, 42, Tue Aug 12 13_38_33 2014
80524, 77190, _
80600, 10, Tue Aug 12 13_42_44 2014
249100, 241939, _
249005, 31, Tue Aug 12 13_53_23 2014
919, 0, _
586, 0, Tue Aug 12 13_59_46 2014
253214, 245727, _
252723, 35, Tue Aug 12 13_51_46 2014
248586, 241336, _
248266, 41296, Tue Aug 12 13_50_20 2014
247157, 239892, _
246979, 34, Tue Aug 12 13_52_22 2014
294452, 286011, _
293920, 36, Tue Aug 12 13_56_52 2014
312997, 303832, _
312828, 43, Tue Aug 12 13_37_33 2014
302169, 293965, _
301834, 37, Tue Aug 12 13_59_23 2014
296079, 287421, _
295567, 41, Tue Aug 12 13_39_09 2014
217943, 209837, _
220326, 44, Tue Aug 12 14_00_19 2014
317355, 308832, _
316960, 41329, Tue Aug 12 13_59_02 2014
242599, 235231, _
242192, 29, Tue Aug 12 13_34_29 2014
208845, 194576, _
214961, 41362, Tue Aug 12 14_01_23 2014
231661, 224804, _
231288, 29, Tue Aug 12 13_47_14 2014
993, 0, _
651, 0, Tue Aug 12 13_58_34 2014
81657, 78277, _
81604, 41282, Tue Aug 12 13_42_31 2014
947, 0, _
527, 2, Tue Aug 12 13_59_51 2014
309448, 300399, _
309167, 42, Tue Aug 12 13_37_20 2014
305298, 296617, _
304686, 37, Tue Aug 12 13_56_32 2014
319714, 310634, _
319435, 43, Tue Aug 12 13_39_20 2014
253396, 245968, _
252995, 34, Tue Aug 12 13_48_59 2014
23415, 21466, _
23358, 4, Tue Aug 12 13_43_44 2014
256175, 248829, _
255912, 28, Tue Aug 12 13_47_11 2014
296079, 287421, _
295567, 39, Tue Aug 12 13_39_07 2014
313341, 304294, _
313222, 41337, Tue Aug 12 13_39_14 2014
252562, 245200, _
252191, 30, Tue Aug 12 13_54_18 2014
306080, 297419, _
305458, 41329, Tue Aug 12 13_56_36 2014
